,price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,type,paint_color
6788,29900,2011.0,11,1066,6,8,0,88741.94803113553,0,0,3,13,12
2213,5500,2005.0,5,1318,3,5,2,51075.0,0,0,1,9,12
6510,26995,2014.0,29,21,6,6,2,98154.0,0,0,0,8,3
6656,31999,2017.0,2,2270,0,5,2,43430.0,0,0,2,0,12
1167,4980,2010.0,21,121,6,8,2,88741.94803113553,0,0,3,13,12
9719,21499,2017.0,5,1443,2,8,2,29724.0,0,0,3,9,8
6340,18000,2005.0,29,87,2,5,0,88741.94803113553,0,0,0,8,0
4122,9995,2007.0,11,793,0,6,2,145000.0,0,0,3,11,10
2913,14999,2016.0,3,1394,3,5,2,52200.0,0,0,1,9,10
6486,21995,2019.0,25,802,0,3,2,21087.0,0,0,0,0,5
4416,14984,2017.0,34,538,6,3,2,80769.0,0,0,1,9,10
9009,28450,2016.0,29,5,6,6,2,93106.0,0,0,0,10,1
9604,13995,2011.0,5,2057,6,6,4,126945.0,0,0,0,0,10
1623,2995,2002.0,11,873,6,5,2,190793.0,0,0,0,0,8
8397,10999,2012.0,11,1178,6,5,4,103112.0,0,0,3,9,1
8249,32923,2014.0,29,87,6,6,2,33650.0,0,0,0,10,10
8804,19995,2018.0,32,1324,0,8,2,34323.0,0,0,0,9,12
1660,32590,2017.0,19,1748,2,5,2,25335.0,0,2,1,7,0
8723,15999,2017.0,35,1354,6,3,2,39948.0,0,2,1,9,5
3633,27900,2019.0,11,2131,3,5,2,21825.0,0,0,2,11,10
7567,15999,2016.0,4,428,6,3,2,99870.0,0,2,0,9,5
2891,32990,2017.0,29,25,2,6,2,26230.0,0,2,0,8,8
6324,25999,2008.0,11,996,6,6,0,137138.0,0,0,0,10,12
6261,19999,2018.0,11,1178,6,3,2,27918.0,0,2,0,9,9
3538,32500,2016.0,34,2177,6,6,2,115395.0,0,0,0,8,9
1579,46888,2016.0,5,682,0,6,2,12874.0,0,0,2,3,8
2161,18667,2018.0,18,1966,6,8,2,42711.0,0,0,3,13,12
8532,30999,2019.0,5,2149,6,5,2,19316.0,0,0,0,0,5
2818,13280,2011.0,22,1229,6,5,2,96772.0,0,0,0,0,0
4315,19995,2013.0,11,949,2,5,2,218927.0,0,0,0,10,0
2553,11990,2014.0,26,1735,6,8,2,80833.0,0,0,3,13,12
5436,4500,2009.0,26,402,2,8,2,88741.94803113553,0,0,3,13,0
2548,26900,2014.0,17,2231,0,5,2,54210.0,0,0,0,0,10
8286,25995,2016.0,8,588,0,5,2,52084.0,0,0,0,9,0
7557,18995,2016.0,8,1252,3,5,2,56951.0,0,0,1,5,10
2779,26995,2014.0,11,1040,0,6,2,170896.0,0,0,0,13,0
7182,28495,2017.0,12,2079,0,3,2,23745.0,0,0,0,0,0
8337,13999,2018.0,34,2301,6,8,2,35850.0,0,0,3,13,12
1578,17995,2017.0,5,934,6,8,2,58215.0,0,0,3,13,10
253,24990,2010.0,5,532,2,6,2,5360.0,0,2,2,3,8
1188,13990,2018.0,11,1115,2,8,2,15283.0,0,0,1,4,5
3271,10950,2007.0,11,1511,0,6,2,134962.0,0,1,2,13,12
5656,29950,2016.0,17,2231,6,8,2,88741.94803113553,0,3,0,0,12
5739,17900,1987.0,5,1674,6,7,2,58461.0,0,0,3,8,1
3536,9450,2014.0,13,695,2,3,2,164514.0,0,0,1,0,0
7734,14995,2014.0,13,687,6,8,2,133774.0,0,0,3,0,0
7556,12995,2016.0,11,1185,3,3,2,95848.0,0,0,1,9,0
7453,28500,2019.0,24,658,3,3,2,4900.0,0,1,1,13,8
515,9980,2009.0,24,650,2,3,2,38851.0,0,0,1,4,9
5084,20500,2019.0,11,1101,4,5,0,189000.0,0,0,2,10,10
862,4340,2000.0,26,1166,6,5,2,241428.0,6,1,2,8,9
8556,39999,2019.0,11,1678,6,3,2,10195.0,0,0,0,10,1
7848,8995,2012.0,5,1316,3,5,2,94194.0,0,0,1,9,1
5216,33500,2013.0,33,1489,6,8,1,79958.0,0,2,2,9,0
1930,17500,2017.0,14,2171,6,3,2,27609.0,0,0,1,0,12
7387,24995,2014.0,20,1530,3,6,2,88400.0,0,0,0,0,0
3836,9995,2014.0,11,886,0,3,2,116297.0,0,0,1,0,0
2347,20500,2017.0,14,1786,3,3,2,25900.0,0,0,3,13,10
1266,7500,2008.0,21,748,0,8,2,98450.0,0,0,3,0,10
7176,18995,2011.0,11,949,6,8,4,64747.0,0,0,0,8,8
3085,9999,2014.0,26,405,0,3,2,27000.0,4,0,1,9,9
9405,8950,2002.0,5,2058,3,6,2,125800.0,0,0,0,0,10
841,4950,2010.0,11,1178,6,3,2,210614.0,6,1,1,9,8
